Australia,2014	,100,55.4,0,47.2,0,55.3
Australia,2015	,100,55.8,0,47.3,0,55.7
Australia,2016	,100,55.5,0,46.8,0,55.5
Australia,2017	,100,54.9,0,46,0,54.9
Australia,2018	,100,54.2,0,45.1,0,54.2
Austria,2014	,99.9,35.7,NONE,0,NONE,35.7
Austria,2015	,99.9,36.2,NONE,0,NONE,36.2
Austria,2016	,99.9,36.5,NONE,0,NONE,36.5
Austria,2017	,99.9,36.9,NONE,0,NONE,36.9
Austria,2018	,99.9,37.2,NONE,0,NONE,37.2
Belgium,2014	,99,82.2,NONE,NONE,NONE,49.2
Belgium,2015	,99,98,NONE,NONE,98,48.6
Belgium,2016	,99,98,NONE,NONE,98,49.6
Belgium,2017	,98.7,98,NONE,NONE,98,49.3
Belgium,2018	,98.7,98,NONE,NONE,98,51.4
Brazil,2014	,NONE,25.5,NONE,NONE,NONE,NONE
Brazil,2015	,NONE,26,NONE,NONE,NONE,NONE
Brazil,2016	,NONE,25.3,NONE,NONE,NONE,NONE
Brazil,2017	,NONE,24.4,NONE,NONE,NONE,NONE
Brazil,2018	,NONE,24.2,NONE,NONE,NONE,NONE
Canada,2014	,100,67,0,0,0,67
Canada,2015	,100,67,0,0,0,67
Canada,2016	,100,67,0,0,0,67
Canada,2017	,100,68,0,0,0,68
Canada,2018	,100,68,0,0,0,68
Chile,2014	,75.7,NONE,18.5,NONE,30.6,NONE
Chile,2015	,73.8,NONE,18.8,NONE,29.5,NONE
Chile,2016	,75.5,NONE,18.7,NONE,29.1,NONE
Chile,2017	,75.5,NONE,18.4,NONE,34.9,NONE
Chile,2018	,75.2,NONE,18.2,NONE,41.3,NONE
Colombia,2014	,96.6,4.2,NONE,NONE,NONE,NONE
Colombia,2015	,97.6,7.8,NONE,NONE,NONE,NONE
Colombia,2016	,95.7,6.9,NONE,NONE,NONE,NONE
Colombia,2017	,94.9,8.2,NONE,NONE,NONE,NONE
Colombia,2018	,94.7,NONE,NONE,NONE,NONE,NONE
Costa Rica,2014	,94.7,NONE,NONE,NONE,NONE,NONE
Costa Rica,2015	,94.9,NONE,NONE,NONE,NONE,NONE
Costa Rica,2016	,95,NONE,NONE,NONE,NONE,NONE
Costa Rica,2017	,95.4,NONE,NONE,NONE,NONE,NONE
Costa Rica,2018	,91.6,NONE,NONE,NONE,NONE,NONE
Czech Republic,2014	,100,0.2,0.2,NONE,NONE,0
Czech Republic,2015	,100,0,0,NONE,NONE,0
Czech Republic,2016	,100,0,0,NONE,NONE,0
Czech Republic,2017	,100,0,0,NONE,NONE,0
Czech Republic,2018	,100,0,0,NONE,NONE,0
Denmark,2014	,100,31.7,0,0,31.7,31.7
Denmark,2015	,100,32,0,0,32,32
Denmark,2016	,100,32.6,0,0,32.6,32.6
Denmark,2017	,100,33.6,0,0,33.6,33.6
Denmark,2018	,100,34.9,0,0,34.9,34.9
Estonia,2014	,93.9,NONE,NONE,NONE,NONE,NONE
Estonia,2015	,94,NONE,NONE,NONE,NONE,NONE
Estonia,2016	,94,NONE,NONE,NONE,NONE,NONE
Estonia,2017	,94.1,NONE,NONE,NONE,NONE,NONE
Estonia,2018	,94.5,NONE,NONE,NONE,NONE,NONE
Finland,2014	,100,18.3,0,NONE,NONE,18.3
Finland,2015	,100,20.2,0,NONE,NONE,20.2
Finland,2016	,100,21,0,NONE,NONE,21
Finland,2017	,100,21,0,NONE,NONE,21
Finland,2018	,100,21.9,0,NONE,NONE,21.9
France,2014	,99.9,95.5,0,0,95.5,0
France,2015	,99.9,NONE,0,0,NONE,0
France,2016	,99.9,NONE,0,0,NONE,0
France,2017	,99.9,NONE,0,0,NONE,0
France,2018	,99.9,NONE,0,0,NONE,0
Germany,2014	,89.1,33.8,10.9,NONE,22.9,NONE
Germany,2015	,89.2,33.9,10.8,NONE,23.1,NONE
Germany,2016	,89.3,33.9,10.7,NONE,23.2,NONE
Germany,2017	,89.4,34.3,10.6,NONE,23.7,NONE
Germany,2018	,89.4,34.7,10.5,NONE,24.2,NONE
Greece,2014	,NONE,11.5,0,11.5,0,0
Greece,2015	,NONE,12,0,12,0,0
Greece,2016	,100,11.9,0,11.9,0,0
Greece,2017	,100,12.2,0,12.2,0,0
Greece,2018	,100,13.6,0,13.6,0,0
Hungary,2014	,95,0,0,0,0,0
Hungary,2015	,95,0,0,0,0,0
Hungary,2016	,95,0,0,0,0,0
Hungary,2017	,94,0,0,0,0,0
Hungary,2018	,94,0,0,0,0,0
Iceland,2014	,99.8,0.2,0.2,0,0,NONE
Iceland,2015	,99.7,0.3,0.3,0,0,NONE
Iceland,2016	,99.6,0.4,0.4,0,0,NONE
Iceland,2017	,99.5,0.5,0.5,0,0,NONE
Iceland,2018	,99.6,0.4,0.4,0,0,NONE
Ireland,2014	,100,43.6,0,43.6,0,0
Ireland,2015	,100,45.3,0,45.3,0,0
Ireland,2016	,100,45.4,0,45.4,0,0
Ireland,2017	,100,45.4,0,45.4,0,0
Ireland,2018	,100,45.7,0,45.7,0,0
Israel,2014	,100,83.9,NONE,83.9,42.9,83.9
Israel,2015	,100,83.4,NONE,83.4,44.8,83.4
Israel,2016	,100,83.1,NONE,83.1,44.6,83.1
Israel,2017	,100,83.2,NONE,83.2,44.8,83.2
Israel,2018	,100,84.1,NONE,84.1,46.7,84.1
Italy,2014	,100,NONE,0,NONE,0,0
Italy,2015	,100,NONE,0,NONE,0,0
Italy,2016	,100,NONE,0,NONE,0,0
Italy,2017	,100,NONE,0,NONE,0,0
Italy,2018	,100,NONE,0,NONE,0,0
Japan,2014	,100,NONE,NONE,NONE,NONE,NONE
Japan,2015	,100,NONE,NONE,NONE,NONE,NONE
Japan,2016	,100,NONE,NONE,NONE,NONE,NONE
Japan,2017	,100,NONE,NONE,NONE,NONE,NONE
Japan,2018	,100,NONE,NONE,NONE,NONE,NONE
Korea,2014	,100,63.2,0,0,63.2,63.2
Korea,2015	,100,66.8,0,0,66.8,66.8
Korea,2016	,100,67.8,0,0,67.8,67.8
Korea,2017	,100,67.7,0,0,67.7,67.7
Korea,2018	,100,70,0,0,70,70
Latvia,2014	,NONE,13.9,NONE,NONE,NONE,NONE
Latvia,2015	,NONE,14.2,NONE,NONE,NONE,NONE
Latvia,2016	,NONE,14.6,NONE,NONE,NONE,NONE
Latvia,2017	,100,16,NONE,NONE,NONE,NONE
Latvia,2018	,100,18.2,NONE,NONE,NONE,NONE
Lithuania,2014	,92,NONE,NONE,NONE,NONE,NONE
Lithuania,2015	,92.4,1.5,NONE,NONE,NONE,NONE
Lithuania,2016	,92.5,1.5,NONE,NONE,NONE,NONE
Lithuania,2017	,93.9,1.3,NONE,NONE,NONE,NONE
Lithuania,2018	,98.1,1.8,NONE,NONE,NONE,NONE
Luxembourg,2016	,NONE,NONE,NONE,NONE,65.4,NONE
Luxembourg,2017	,100,NONE,NONE,NONE,65.1,NONE
Luxembourg,2018	,100,NONE,NONE,NONE,65.3,NONE
Mexico,2014	,92.9,8.1,NONE,8.1,0,NONE
Mexico,2015	,92.3,8.2,NONE,8.2,0,NONE
Mexico,2016	,89.8,9.1,NONE,9.1,0,NONE
Mexico,2017	,89.3,9.6,NONE,9.6,0,NONE
Mexico,2018	,88.3,9.9,NONE,9.9,0,NONE
Netherlands,2014	,99.8,84.5,0,0,0,84.5
Netherlands,2015	,99.8,84.1,0,0,0,84.1
Netherlands,2016	,99.9,84.3,0,0,0,84.3
Netherlands,2017	,99.9,84.1,0,0,0,84.1
Netherlands,2018	,99.9,83.6,0,0,0,83.6
New Zealand,2014	,100,29.3,0,29.3,0,0
New Zealand,2015	,100,28.8,0,28.8,0,0
New Zealand,2016	,100,28.7,0,27.7,1,0
New Zealand,2017	,100,28.6,0,27.6,1,0
New Zealand,2018	,100,28.8,0,27.8,1.1,0
Norway,2014	,100,NONE,0,NONE,NONE,NONE
Norway,2015	,100,NONE,0,NONE,NONE,NONE
Norway,2016	,100,NONE,0,NONE,NONE,NONE
Norway,2017	,100,NONE,0,NONE,NONE,NONE
Norway,2018	,100,NONE,0,NONE,NONE,NONE
Poland,2014	,91.3,0,0,0,0,0
Poland,2015	,91,0,0,0,0,0
Poland,2016	,91.5,0,0,0,0,0
Poland,2017	,92.6,0,0,0,0,0
Poland,2018	,92.9,0,0,0,0,0
Portugal,2014	,100,22.3,0,22.3,NONE,NONE
Portugal,2015	,100,25.7,0,25.7,NONE,NONE
Portugal,2016	,100,26.1,0,26.1,NONE,NONE
Portugal,2017	,100,26.6,0,26.6,NONE,NONE
Portugal,2018	,100,26,0,26,NONE,NONE
Russia,2014	,99.9,11.3,NONE,NONE,NONE,NONE
Russia,2015	,100,10.4,NONE,NONE,NONE,NONE
Russia,2016	,100,7,NONE,NONE,NONE,NONE
Russia,2017	,99.7,7.6,NONE,NONE,NONE,NONE
Russia,2018	,99.6,8.4,NONE,NONE,NONE,NONE
Slovak Republic,2014	,94.2,0,0,0,0,0
Slovak Republic,2015	,93.8,0,0,0,0,0
Slovak Republic,2016	,94.5,0,0,0,0,0
Slovak Republic,2017	,94.6,0,0,0,0,0
Slovak Republic,2018	,94.5,0,0,0,0,0
Slovenia,2014	,100,77,0,0.2,70.9,6
Slovenia,2015	,100,87.1,0,0.3,71.2,15.6
Slovenia,2016	,100,84.3,0,0.8,71.6,11.9
Slovenia,2017	,100,85.7,0,3.3,72,10.4
Slovenia,2018	,100,88.8,0,4.5,72.8,11.5
South Africa,2014	,NONE,16.3,NONE,NONE,NONE,NONE
South Africa,2015	,NONE,15.8,NONE,NONE,NONE,NONE
South Africa,2016	,NONE,15.7,NONE,NONE,NONE,NONE
South Africa,2017	,NONE,15.1,NONE,NONE,NONE,NONE
South Africa,2018	,NONE,15.4,NONE,NONE,NONE,NONE
Spain,2014	,99.1,15.6,0.8,14.9,0,NONE
Spain,2017	,99,16.3,0.9,15.4,0,NONE
Spain,2018	,100,NONE,NONE,NONE,NONE,NONE
Sweden,2014	,100,NONE,NONE,5.8,NONE,NONE
Sweden,2015	,100,NONE,NONE,6,NONE,NONE
Sweden,2016	,100,NONE,NONE,6.2,NONE,NONE
Sweden,2017	,100,NONE,NONE,6.4,NONE,NONE
Sweden,2018	,100,NONE,NONE,6.5,NONE,NONE
Switzerland,2014	,100,NONE,0,0,0,NONE
Switzerland,2015	,100,NONE,0,0,0,NONE
Switzerland,2016	,100,NONE,0,0,0,NONE
Switzerland,2017	,100,28.5,0,0,0,28.5
Switzerland,2018	,100,NONE,0,0,0,NONE
Turkey,2014	,98.4,5.8,NONE,NONE,NONE,NONE
Turkey,2015	,98.4,5.4,NONE,NONE,NONE,NONE
Turkey,2016	,98.2,7.6,NONE,NONE,NONE,NONE
Turkey,2017	,99.2,6.7,NONE,NONE,NONE,NONE
Turkey,2018	,98.5,8.3,NONE,NONE,NONE,NONE
United Kingdom,2014	,100,10.4,0,10.4,0,0
United Kingdom,2015	,100,10.5,0,10.5,0,0
United Kingdom,2016	,100,10.4,0,10.4,0,0
United Kingdom,2017	,100,10.3,0,10.3,0,0
United Kingdom,2018	,100,10.3,0,10.3,0,0
United States,2014	,34.5,61.6,54,NONE,7.6,NONE
United States,2015	,35.6,62.9,55.3,NONE,7.7,NONE
United States,2016	,36.3,63,54.9,NONE,8.1,NONE
United States,2017	,35.9,62.9,54.9,NONE,8,NONE
United States,2018	,34,62.7,54.5,NONE,8.2,NONE
